Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Date,Bulan
Over 51,Male,High school,Employee,Below 1yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,2,2019-05-13,2019-05
31-50,Male,High school,Employee,Below 1yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,2020-09-18,2020-09
18-30,Male,High school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No priority to vehicle,2,2018-08-02,2018-08
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,2,2019-04-26,2019-04
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,2017-02-17,2017-02
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,2017-01-30,2017-01
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,2,2020-06-20,2020-06
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Changing lane to the right,2,2020-10-30,2020-10
18-30,Male,High school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,2019-10-23,2019-10
18-30,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,2017-01-22,2017-01
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,2020-09-18,2020-09
Over 51,Male,Elementary school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Other,2,2019-06-07,2019-06
31-50,Male,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2018-11-06,2018-11
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,2019-03-14,2019-03
18-30,Male,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No priority to pedestrian,2,2020-11-26,2020-11
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2017-12-28,2017-12
31-50,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,2017-11-11,2017-11
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,2020-10-31,2020-10
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,2018-12-25,2018-12
31-50,Male,Elementary school,Other,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,2018-07-22,2018-07
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,2017-03-09,2017-03
31-50,Male,Elementary school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,2020-03-11,2020-03
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,2018-11-17,2018-11
Over 51,Male,Elementary school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the right,1,2019-11-15,2019-11
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,2017-11-14,2017-11
Under 18,Male,High school,Owner,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,2018-01-02,2018-01
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,1,2020-03-22,2020-03
31-50,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Overturning,1,2020-07-15,2020-07
Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,2018-12-06,2018-12
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,2018-07-04,2018-07
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Moving Backward,0,2020-10-17,2020-10
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,0,2020-01-15,2020-01
18-30,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2,2019-08-23,2019-08
18-30,Male,Elementary school,Owner,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2,2019-05-17,2019-05
Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,2019-07-15,2019-07
Over 51,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,2017-08-21,2017-08
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,2019-06-23,2019-06
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,2019-05-27,2019-05
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,2018-06-01,2018-06
Over 51,Male,Junior high school,Employee,Above 10yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,2019-01-13,2019-01
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2017-04-23,2017-04
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,2019-05-06,2019-05
Over 51,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,2018-02-15,2018-02
Under 18,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,1,2018-11-03,2018-11
Under 18,Male,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,2018-01-07,2018-01
Under 18,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,1,2018-06-11,2018-06
Under 18,Male,Elementary school,Employee,5-10yr,One way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,2018-12-03,2018-12
Over 51,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Other,2,2020-03-24,2020-03
31-50,Male,Elementary school,Employee,5-10yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Moving Backward,2,2017-07-21,2017-07
18-30,Male,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,2017-09-19,2017-09
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,2019-02-06,2019-02
31-50,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,2020-09-16,2020-09
18-30,Male,Elementary school,Employee,Above 10yr,other,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2019-09-21,2019-09
18-30,Male,Elementary school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,2018-10-10,2018-10
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,2019-06-04,2019-06
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to pedestrian,2,2017-04-01,2017-04
18-30,Male,Junior high school,Employee,2-5yr,other,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,1,2020-08-07,2020-08
Over 51,Male,Elementary school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Turnover,2,2018-04-13,2018-04
31-50,Male,Elementary school,Employee,1-2yr,other,No junction,Other,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving to the left,2,2020-10-19,2020-10
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,2017-10-29,2017-10
31-50,Male,Elementary school,Owner,1-2yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to pedestrian,2,2020-10-02,2020-10
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,2019-12-16,2019-12
18-30,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,2020-04-01,2020-04
31-50,Male,Junior high school,Employee,2-5yr,other,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1,2020-05-22,2020-05
31-50,Male,Junior high school,Owner,Below 1yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Reversing,Not a Pedestrian,Changing lane to the right,2,2018-07-19,2018-07
31-50,Male,High school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,2019-10-08,2019-10
Under 18,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,1,2017-10-13,2017-10
Under 18,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Parked,Not a Pedestrian,Changing lane to the right,1,2018-08-12,2018-08
18-30,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,2017-10-26,2017-10
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2019-10-18,2019-10
Under 18,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Stopping,Not a Pedestrian,Other,2,2018-06-08,2018-06
18-30,Male,Illiterate,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,2018-10-21,2018-10
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,Changing lane to the right,2,2020-09-29,2020-09
31-50,Male,Junior high school,Employee,Below 1yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Overtaking,2,2019-02-13,2019-02
18-30,Male,Elementary school,Employee,2-5yr,Double carriageway (median),No junction,Earth roads,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,2018-06-20,2018-06
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,2019-03-16,2019-03
Under 18,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,2017-01-23,2017-01
Under 18,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to pedestrian,2,2017-10-21,2017-10
31-50,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,2020-06-23,2020-06
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,2020-10-27,2020-10
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,Moving Backward,2,2018-03-24,2018-03
Over 51,Male,High school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving at high speed,2,2019-12-01,2019-12
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Moving Backward,2,2017-03-10,2017-03
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,2018-03-31,2018-03
Over 51,Male,High school,Owner,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to vehicle,2,2017-06-04,2017-06
Over 51,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Changing lane to the right,2,2019-02-25,2019-02
Over 51,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,2018-07-30,2018-07
18-30,Male,Above high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,2020-05-08,2020-05
18-30,Male,Junior high school,Employee,5-10yr,other,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,2017-12-05,2017-12
18-30,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2020-01-06,2020-01
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,2018-02-02,2018-02
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,2019-02-02,2019-02
31-50,Male,Junior high school,Employee,Below 1yr,One way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,2017-07-28,2017-07
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,2019-09-15,2019-09
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Other,2,2019-10-22,2019-10
18-30,Male,Above high school,Employee,5-10yr,Undivided Two way,Y Shape,Other,Daylight,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,No distancing,2,2018-10-08,2018-10
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to pedestrian,2,2017-07-25,2017-07
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,1,2020-11-22,2020-11
18-30,Male,Junior high school,Owner,2-5yr,other,No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Getting off the vehicle improperly,1,2019-06-28,2019-06
18-30,Male,Junior high school,Owner,2-5yr,One way,No junction,Asphalt roads,Darkness - no lighting,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,2019-11-04,2019-11
Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,2020-02-13,2020-02
